Hybrid Model,Max Depth,Min Samples Split,Criterion,Accuracy,F1-Score,ROC AUC,Precision,Recall
HybridOption.NONE,15,25,f1_gini,0.7821666666666667,0.5157007323880748,0.6903662889891878,0.5163462357404053,0.5250350107932903
HybridOption.NONE,5,2,f1_proxy_impurity,0.7857666666666667,0.5153528953751118,0.6888012265647496,0.5208703330046912,0.5145178149029801
HybridOption.NONE,5,3,f1_proxy_impurity,0.7857000000000001,0.515218199087149,0.688710651170142,0.520821163122351,0.5143790657500348
HybridOption.NONE,7,25,f1_proxy_impurity,0.7870666666666668,0.5151250259836546,0.6883391785815239,0.5234524258035942,0.5109662493574194
HybridOption.NONE,5,25,f1_proxy_impurity,0.7853000000000001,0.5149575834360067,0.6886368405238176,0.5194149167652695,0.5149292972012849
HybridOption.NONE,3,2,f1_proxy_impurity,0.7858333333333334,0.514902928684992,0.6884659981979933,0.5209094362817096,0.5134632941973527
HybridOption.NONE,3,3,f1_proxy_impurity,0.7857333333333334,0.5147205980265372,0.6883480355791745,0.5206976913086978,0.5133130312371723
HybridOption.NONE,3,5,f1_proxy_impurity,0.7857999999999999,0.5146529779734584,0.6882822050949404,0.5208468621762025,0.5130102193930532
HybridOption.NONE,5,10,f1_proxy_impurity,0.7852,0.5145456708103149,0.6883636051265443,0.519187436993446,0.514337021325363
HybridOption.NONE,3,25,f1_proxy_impurity,0.7855666666666666,0.5145425508510633,0.6882408287007525,0.5203786228668357,0.5133128052778336
HybridOption.NONE,5,5,f1_proxy_impurity,0.7854666666666668,0.514115520244883,0.6879565989417034,0.520216884915191,0.512699874472401
HybridOption.NONE,7,3,f1_proxy_impurity,0.7853,0.5141101443005762,0.6880173807893184,0.520014953360788,0.5131642971080157
HybridOption.NONE,3,10,f1_proxy_impurity,0.7855333333333333,0.5140772243636408,0.6878948767674441,0.5203157293412699,0.5124067686489042
HybridOption.NONE,7,2,f1_proxy_impurity,0.7852333333333334,0.514057882963942,0.6879804388084559,0.5197265896774115,0.5131770210452888
HybridOption.NONE,10,25,f1_gini,0.784,0.5135358166877856,0.6886915684005913,0.5213966231869562,0.5170153347786229
HybridOption.NONE,7,10,f1_proxy_impurity,0.7855000000000001,0.5127103409552956,0.6869699488917336,0.5201107423171794,0.5099308104191367
HybridOption.NONE,7,5,f1_proxy_impurity,0.7847333333333333,0.5124776381348886,0.6869849341924343,0.5183945146905446,0.5113206228601328
HybridOption.NONE,3,50,f1_proxy_impurity,0.7853000000000001,0.5123144871343276,0.6866344837543049,0.519734241074874,0.5093311057812429
HybridOption.NONE,5,50,f1_proxy_impurity,0.7863666666666667,0.5119164192875588,0.6860913405821545,0.5221843334765557,0.5059455483455709
HybridOption.NONE,10,10,f1_proxy_impurity,0.7872666666666667,0.5117355741812057,0.6858291073925717,0.5239130482223582,0.5036446240792364
